axis,list_type,rank,gene,top50_seed_support,across_seed_mean_abs_ig
drug0,top50_in_at_least_2_seeds,16,Syt1,2,4.398193366666667e-05
drug0,top50_in_at_least_2_seeds,17,Grin2b,2,4.2489909666666665e-05
drug0,top50_in_at_least_2_seeds,18,Atp2b1,2,4.0392159e-05
drug0,top50_in_at_least_2_seeds,19,Rian,2,3.832437466666667e-05
drug0,top50_in_at_least_2_seeds,20,Apoe,2,3.662632333333333e-05
drug0,top50_in_at_least_2_seeds,21,Opcml,2,3.436106843333333e-05
drug0,top50_in_at_least_2_seeds,22,Pcdh9,2,3.4304070999999996e-05
drug0,top50_in_at_least_2_seeds,23,Dclk1,2,3.3490536333333336e-05
drug0,top50_in_at_least_2_seeds,24,Nrxn1,2,3.3020796e-05
drug0,top50_in_at_least_2_seeds,25,Peg3,2,3.2820217e-05
drug0,top50_in_at_least_2_seeds,26,Grin2a,2,3.0452388666666663e-05
drug0,top50_in_at_least_2_seeds,27,Cttnbp2,2,2.965830183333333e-05
drug0,top50_in_at_least_2_seeds,28,Sptbn1,2,2.9114611333333337e-05
drug0,top50_in_at_least_2_seeds,29,Dpp6,2,2.850961766666667e-05
drug0,top50_in_at_least_2_seeds,30,Zbtb20,2,2.7351242999999998e-05
drug0,top50_in_at_least_2_seeds,31,Nfib,2,2.5674785000000003e-05
drug0,top50_in_at_least_2_seeds,32,Miat,2,2.4012916e-05
drug0,top50_in_at_least_2_seeds,33,Mag,2,2.2980233e-05
drug0,top50_in_at_least_2_seeds,34,Map1b,2,2.2260223e-05
drug0,top50_in_at_least_2_seeds,35,Gpm6a,2,1.9645214e-05
drug0,top50_in_at_least_2_seeds,36,Gatm,2,1.8555896066666665e-05
drug0,top50_in_all_3_seeds,1,Snhg11,3,0.00014832593333333332
drug0,top50_in_all_3_seeds,2,Kcnq1ot1,3,9.802628733333333e-05
drug0,top50_in_all_3_seeds,3,Meg3,3,7.479928233333333e-05
drug0,top50_in_all_3_seeds,4,Ttr,3,6.6456485e-05
drug0,top50_in_all_3_seeds,5,Gria2,3,6.5539023e-05
drug0,top50_in_all_3_seeds,6,Brd9,3,5.153083833333333e-05
drug0,top50_in_all_3_seeds,7,Rtn1,3,4.6696330666666664e-05
drug0,top50_in_all_3_seeds,8,C1ql3,3,3.6250923666666665e-05
drug0,top50_in_all_3_seeds,9,Pcsk2,3,3.504115066666667e-05
drug0,top50_in_all_3_seeds,10,Nrcam,3,3.4167984000000005e-05
drug0,top50_in_all_3_seeds,11,Zeb2,3,3.337433466666667e-05
drug0,top50_in_all_3_seeds,12,Plppr4,3,3.323946966666667e-05
drug0,top50_in_all_3_seeds,13,Ptprd,3,2.8505149e-05
drug1,consensus_mean_top50,1,Ccn3,2,0.003860538513333333
drug1,consensus_mean_top50,2,Col25a1,2,0.0019792139828333334
drug1,consensus_mean_top50,3,mt-Co3,3,0.0018054517233333331
drug1,consensus_mean_top50,4,Igfbp6,2,0.0017910024787333332
drug1,consensus_mean_top50,5,mt-Co2,3,0.00174861737
drug1,consensus_mean_top50,6,mt-Nd4,3,0.00151624765
drug1,consensus_mean_top50,7,Mgp,3,0.0015006116439999998
drug1,consensus_mean_top50,8,Foxc2,2,0.0014841895859333332
drug1,consensus_mean_top50,9,Rspo3,2,0.0014535718874666669
drug1,consensus_mean_top50,10,Col6a2,2,0.0014033010026666666
drug1,consensus_mean_top50,11,Slc26a7,1,0.0011783074992
drug1,consensus_mean_top50,12,Col6a1,2,0.0010459990003666667
drug1,consensus_mean_top50,13,Ogn,2,0.0010446210344000001
drug1,consensus_mean_top50,14,Adamtsl3,2,0.0010273478526666667
drug1,consensus_mean_top50,15,Foxd1,2,0.0010007752823333333
drug1,consensus_mean_top50,16,Islr,1,0.0009032361761666667
drug1,consensus_mean_top50,17,Igfbp5,1,0.0008009383114666668
drug1,consensus_mean_top50,18,Efemp1,2,0.0007982564725666666
drug1,consensus_mean_top50,19,Bsg,3,0.0007642963133333334
drug1,consensus_mean_top50,20,Fos,3,0.0007436062700000001
drug1,consensus_mean_top50,21,Slc47a1,1,0.0007400296079
drug1,consensus_mean_top50,22,Slc26a2,1,0.0007272128666333333
drug1,consensus_mean_top50,23,S100a10,2,0.0007027337803999999
drug1,consensus_mean_top50,24,Hes1,2,0.0006599477893333333
drug1,consensus_mean_top50,25,Egr1,1,0.0006554531249999999
drug1,consensus_mean_top50,26,Mt1,3,0.0006441973766666666
drug1,consensus_mean_top50,27,Slc4a10,1,0.00063305426791
drug1,consensus_mean_top50,28,Slc38a2,2,0.0006045059373333334
drug1,consensus_mean_top50,29,Ttr,3,0.0006036151766666667
drug1,consensus_mean_top50,30,Tmsb10,2,0.0006012280753333333
drug1,consensus_mean_top50,31,Neat1,1,0.0005986109903333333
drug1,consensus_mean_top50,32,Nbl1,1,0.0005952832410000001
drug1,consensus_mean_top50,33,Ildr2,2,0.0005743339261
drug1,consensus_mean_top50,34,Twist1,1,0.0005727375813333333
drug1,consensus_mean_top50,35,Col1a2,2,0.000554060941
drug1,consensus_mean_top50,36,Col12a1,1,0.0005416533371333333
drug1,consensus_mean_top50,37,Klf4,1,0.0005245370533333334
drug1,consensus_mean_top50,38,Bnc2,1,0.0005086752769166667
drug1,consensus_mean_top50,39,Sat1,2,0.00048522734499999994
drug1,consensus_mean_top50,40,Anxa1,2,0.0004846107796666667
drug1,consensus_mean_top50,41,Tsc22d1,2,0.0004803679053333333
drug1,consensus_mean_top50,42,Serpinb9,1,0.0004800182964
drug1,consensus_mean_top50,43,Apoe,2,0.0004732343466666666
drug1,consensus_mean_top50,44,Id3,2,0.00046782623100000007
drug1,consensus_mean_top50,45,Mbp,3,0.00046449424333333333
drug1,consensus_mean_top50,46,C730034F03Rik,1,0.0004585874847
drug1,consensus_mean_top50,47,Fn1,1,0.00045835777933333333
drug1,consensus_mean_top50,48,Zbtb20,2,0.000440535408
drug1,consensus_mean_top50,49,Glul,2,0.00042453774666666665
drug1,consensus_mean_top50,50,Zic4,1,0.00042365414133333336
drug1,top50_in_at_least_2_seeds,1,mt-Co3,3,0.0018054517233333331
drug1,top50_in_at_least_2_seeds,2,mt-Co2,3,0.00174861737
drug1,top50_in_at_least_2_seeds,3,mt-Nd4,3,0.00151624765
drug1,top50_in_at_least_2_seeds,4,Mgp,3,0.0015006116439999998
drug1,top50_in_at_least_2_seeds,5,Bsg,3,0.0007642963133333334
drug1,top50_in_at_least_2_seeds,6,Fos,3,0.0007436062700000001
drug1,top50_in_at_least_2_seeds,7,Mt1,3,0.0006441973766666666
drug1,top50_in_at_least_2_seeds,8,Ttr,3,0.0006036151766666667
drug1,top50_in_at_least_2_seeds,9,Mbp,3,0.00046449424333333333
drug1,top50_in_at_least_2_seeds,10,Ccn3,2,0.003860538513333333
drug1,top50_in_at_least_2_seeds,11,Col25a1,2,0.0019792139828333334
drug1,top50_in_at_least_2_seeds,12,Igfbp6,2,0.0017910024787333332
drug1,top50_in_at_least_2_seeds,13,Foxc2,2,0.0014841895859333332
drug1,top50_in_at_least_2_seeds,14,Rspo3,2,0.0014535718874666669
drug1,top50_in_at_least_2_seeds,15,Col6a2,2,0.0014033010026666666
drug1,top50_in_at_least_2_seeds,16,Col6a1,2,0.0010459990003666667
drug1,top50_in_at_least_2_seeds,17,Ogn,2,0.0010446210344000001
drug1,top50_in_at_least_2_seeds,18,Adamtsl3,2,0.0010273478526666667
drug1,top50_in_at_least_2_seeds,19,Foxd1,2,0.0010007752823333333
drug1,top50_in_at_least_2_seeds,20,Efemp1,2,0.0007982564725666666
drug1,top50_in_at_least_2_seeds,21,S100a10,2,0.0007027337803999999
drug1,top50_in_at_least_2_seeds,22,Hes1,2,0.0006599477893333333
drug1,top50_in_at_least_2_seeds,23,Slc38a2,2,0.0006045059373333334
drug1,top50_in_at_least_2_seeds,24,Tmsb10,2,0.0006012280753333333
drug1,top50_in_at_least_2_seeds,25,Ildr2,2,0.0005743339261
drug1,top50_in_at_least_2_seeds,26,Col1a2,2,0.000554060941
drug1,top50_in_at_least_2_seeds,27,Sat1,2,0.00048522734499999994
drug1,top50_in_at_least_2_seeds,28,Anxa1,2,0.0004846107796666667
drug1,top50_in_at_least_2_seeds,29,Tsc22d1,2,0.0004803679053333333
drug1,top50_in_at_least_2_seeds,30,Apoe,2,0.0004732343466666666
drug1,top50_in_at_least_2_seeds,31,Id3,2,0.00046782623100000007
drug1,top50_in_at_least_2_seeds,32,Zbtb20,2,0.000440535408
drug1,top50_in_at_least_2_seeds,33,Glul,2,0.00042453774666666665
drug1,top50_in_at_least_2_seeds,34,Bc1,2,0.0004022610556666667
drug1,top50_in_at_least_2_seeds,35,Junb,2,0.0003929944853333334
drug1,top50_in_at_least_2_seeds,36,Ctsd,2,0.0003683480366666666
drug1,top50_in_at_least_2_seeds,37,Cbr2,2,0.00035908013
drug1,top50_in_at_least_2_seeds,38,Folr2,2,0.00031486611999999997
drug1,top50_in_at_least_2_seeds,39,Mrc1,2,0.00028618762333333333
drug1,top50_in_at_least_2_seeds,40,Pf4,2,0.00023917307333333332
drug1,top50_in_at_least_2_seeds,41,F13a1,2,0.000214343818
drug1,top50_in_at_least_2_seeds,42,Cd163,2,0.00019783909733333334
drug1,top50_in_at_least_2_seeds,43,Ms4a7,2,0.00016913161833333334
drug1,top50_in_at_least_2_seeds,44,Ifi207,2,0.00014267142933333332
drug1,top50_in_at_least_2_seeds,45,Lilrb4a,2,0.00012998498800000002
drug1,top50_in_all_3_seeds,1,mt-Co3,3,0.0018054517233333331
drug1,top50_in_all_3_seeds,2,mt-Co2,3,0.00174861737
drug1,top50_in_all_3_seeds,3,mt-Nd4,3,0.00151624765
drug1,top50_in_all_3_seeds,4,Mgp,3,0.0015006116439999998
drug1,top50_in_all_3_seeds,5,Bsg,3,0.0007642963133333334
drug1,top50_in_all_3_seeds,6,Fos,3,0.0007436062700000001
drug1,top50_in_all_3_seeds,7,Mt1,3,0.0006441973766666666
drug1,top50_in_all_3_seeds,8,Ttr,3,0.0006036151766666667
drug1,top50_in_all_3_seeds,9,Mbp,3,0.00046449424333333333
