comparison,axis,baseline,target,a,b,spearman,top50_jaccard
cell_bootstrap,drug0,zero,norm_squared,0,57,0.9574774644311377,0.6949152542372882
cell_bootstrap,drug0,zero,norm_squared,0,58,0.9694794266776693,0.9230769230769231
cell_bootstrap,drug0,zero,norm_squared,0,59,0.8907736927464369,0.6129032258064516
cell_bootstrap,drug0,zero,norm_squared,0,60,0.869365189491896,0.639344262295082
cell_bootstrap,drug0,zero,norm_squared,0,61,0.9653859780177729,0.7857142857142857
cell_bootstrap,drug0,zero,norm_squared,0,62,0.9015752531773159,0.7857142857142857
cell_bootstrap,drug0,zero,norm_squared,0,63,0.8943949782899095,0.6666666666666666
cell_bootstrap,drug0,zero,norm_squared,0,64,0.8873883623136946,0.6949152542372882
cell_bootstrap,drug0,zero,norm_squared,0,65,0.9060598030253745,0.6666666666666666
cell_bootstrap,drug0,zero,norm_squared,0,66,0.9458436611303115,0.5873015873015873
cell_bootstrap,drug0,zero,norm_squared,0,67,0.9013759451669816,0.6129032258064516
cell_bootstrap,drug0,zero,norm_squared,0,68,0.9500410853982114,0.8181818181818182
cell_bootstrap,drug0,zero,norm_squared,0,69,0.9397772825030453,0.6666666666666666
cell_bootstrap,drug0,zero,norm_squared,0,70,0.957624044783632,0.7543859649122807
cell_bootstrap,drug0,zero,norm_squared,0,71,0.9575603818602625,0.5151515151515151
cell_bootstrap,drug0,zero,norm_squared,0,72,0.878410845881451,0.6949152542372882
cell_bootstrap,drug0,zero,norm_squared,0,73,0.9689391333026788,0.8518518518518519
cell_bootstrap,drug0,zero,norm_squared,0,74,0.957128380951943,0.639344262295082
cell_bootstrap,drug0,zero,norm_squared,0,75,0.9149672878516758,0.7241379310344828
cell_bootstrap,drug0,zero,norm_squared,0,76,0.8951636830869129,0.6666666666666666
cell_bootstrap,drug0,zero,norm_squared,0,77,0.9229214619937173,0.4925373134328358
cell_bootstrap,drug0,zero,norm_squared,0,78,0.9532304882231017,0.639344262295082
cell_bootstrap,drug0,zero,norm_squared,0,79,0.9453812459904756,0.8518518518518519
cell_bootstrap,drug0,zero,norm_squared,0,80,0.9111287339768529,0.7857142857142857
cell_bootstrap,drug0,zero,norm_squared,0,81,0.9487536854335528,0.8181818181818182
cell_bootstrap,drug0,zero,norm_squared,0,82,0.8721936573416896,0.6666666666666666
cell_bootstrap,drug0,zero,norm_squared,0,83,0.8990984311462407,0.6666666666666666
cell_bootstrap,drug0,zero,norm_squared,0,84,0.9554962070625016,0.5873015873015873
cell_bootstrap,drug0,zero,norm_squared,0,85,0.8790042974308142,0.6949152542372882
cell_bootstrap,drug0,zero,norm_squared,0,86,0.9726993340627149,0.6666666666666666
cell_bootstrap,drug0,zero,norm_squared,0,87,0.9351962060277343,0.5151515151515151
cell_bootstrap,drug0,zero,norm_squared,0,88,0.896095149536699,0.6129032258064516
cell_bootstrap,drug0,zero,norm_squared,0,89,0.9532555565325774,0.7857142857142857
cell_bootstrap,drug0,zero,norm_squared,0,90,0.8904071832348036,0.639344262295082
cell_bootstrap,drug0,zero,norm_squared,0,91,0.9491098107084672,0.6666666666666666
cell_bootstrap,drug0,zero,norm_squared,0,92,0.9443130965185247,0.47058823529411764
cell_bootstrap,drug0,zero,norm_squared,0,93,0.8928887198753681,0.7857142857142857
cell_bootstrap,drug0,zero,norm_squared,0,94,0.9592888134822216,0.8181818181818182
cell_bootstrap,drug0,zero,norm_squared,0,95,0.957300668474448,0.3888888888888889
cell_bootstrap,drug0,zero,norm_squared,0,96,0.8764685015507597,0.5873015873015873
cell_bootstrap,drug0,zero,norm_squared,0,97,0.9059336513617547,0.639344262295082
cell_bootstrap,drug0,zero,norm_squared,0,98,0.9084864750685375,0.7857142857142857
cell_bootstrap,drug0,zero,norm_squared,0,99,0.9236180738499101,0.6129032258064516
cell_bootstrap,drug1,zero,norm_squared,0,0,0.8768482934078086,0.3157894736842105
cell_bootstrap,drug1,zero,norm_squared,0,1,0.9605424594750367,0.5873015873015873
cell_bootstrap,drug1,zero,norm_squared,0,2,0.9827465623538538,0.9607843137254902
cell_bootstrap,drug1,zero,norm_squared,0,3,0.9614245033877735,0.7857142857142857
cell_bootstrap,drug1,zero,norm_squared,0,4,0.9584262092411869,0.639344262295082
cell_bootstrap,drug1,zero,norm_squared,0,5,0.9799189935866979,0.6666666666666666
cell_bootstrap,drug1,zero,norm_squared,0,6,0.8869836467981908,0.2987012987012987
cell_bootstrap,drug1,zero,norm_squared,0,7,0.9680586478027133,0.639344262295082
cell_bootstrap,drug1,zero,norm_squared,0,8,0.7847493998468908,0.21951219512195122
cell_bootstrap,drug1,zero,norm_squared,0,9,0.9578043398097614,0.6666666666666666
cell_bootstrap,drug1,zero,norm_squared,0,10,0.9634713919188989,0.5873015873015873
cell_bootstrap,drug1,zero,norm_squared,0,11,0.8826759375501313,0.3888888888888889
cell_bootstrap,drug1,zero,norm_squared,0,12,0.8641794311539474,0.3157894736842105
cell_bootstrap,drug1,zero,norm_squared,0,13,0.9821263817709255,0.7241379310344828
cell_bootstrap,drug1,zero,norm_squared,0,14,0.9644870187120121,0.8867924528301887
