comparison,axis,baseline,target,a,b,spearman,top50_jaccard
cell_bootstrap,drug1,zero,norm_squared,0,47,0.9582344739247001,0.7241379310344828
cell_bootstrap,drug1,zero,norm_squared,0,48,0.8580528552449725,0.35135135135135137
cell_bootstrap,drug1,zero,norm_squared,0,49,0.7959624894651773,0.2987012987012987
cell_bootstrap,drug1,zero,norm_squared,0,50,0.9707426463464057,0.8867924528301887
cell_bootstrap,drug1,zero,norm_squared,0,51,0.8619693424903513,0.3157894736842105
cell_bootstrap,drug1,zero,norm_squared,0,52,0.8808167853540875,0.3698630136986301
cell_bootstrap,drug1,zero,norm_squared,0,53,0.8552816429348142,0.3157894736842105
cell_bootstrap,drug1,zero,norm_squared,0,54,0.8762253204715695,0.3333333333333333
cell_bootstrap,drug1,zero,norm_squared,0,55,0.955516618100545,0.8518518518518519
cell_bootstrap,drug1,zero,norm_squared,0,56,0.8632166757067097,0.2987012987012987
cell_bootstrap,drug1,zero,norm_squared,0,57,0.8035053061228793,0.26582278481012656
cell_bootstrap,drug1,zero,norm_squared,0,58,0.9635669219544065,0.7543859649122807
cell_bootstrap,drug1,zero,norm_squared,0,59,0.8562469642564571,0.5384615384615384
cell_bootstrap,drug1,zero,norm_squared,0,60,0.9648270810177111,0.7543859649122807
cell_bootstrap,drug1,zero,norm_squared,0,61,0.9001563987575061,0.5873015873015873
cell_bootstrap,drug1,zero,norm_squared,0,62,0.8787217614738317,0.3333333333333333
cell_bootstrap,drug1,zero,norm_squared,0,63,0.9891516310159194,0.8518518518518519
cell_bootstrap,drug1,zero,norm_squared,0,64,0.9318966102903866,0.5873015873015873
cell_bootstrap,drug1,zero,norm_squared,0,65,0.8808764909900406,0.6129032258064516
cell_bootstrap,drug1,zero,norm_squared,0,66,0.8157303204821829,0.2987012987012987
cell_bootstrap,drug1,zero,norm_squared,0,67,0.9836947082146263,0.6666666666666666
cell_bootstrap,drug1,zero,norm_squared,0,68,0.952506515723205,0.6949152542372882
cell_bootstrap,drug1,zero,norm_squared,0,69,0.8822518042162553,0.28205128205128205
