axis,library,term,overlap,set_size_in_universe,list_size,universe_size,fold_enrichment,p_value,genes,q_value
shared,GO_BP,GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,1,29,50,1500,1.0344827586206897,0.6293882879681989,Slc6a6,1.0
shared,GO_BP,GOBP_AMINO_ACID_TRANSPORT,1,40,50,1500,0.75,0.7469883874978639,Slc6a6,1.0
shared,GO_BP,GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,10,201,50,1500,1.4925373134328357,0.12104468424243067,C5ar1|Cflar|Cxcl12|Dab2|Junb|Mef2c|Pf4|Stab1|Tnfsf12|Tyrobp,0.6896654171055698
shared,GO_BP,GOBP_ANATOMICAL_STRUCTURE_MATURATION,1,41,50,1500,0.7317073170731707,0.755653168747937,C1qa,1.0
shared,GO_BP,GOBP_ANGIOGENESIS,5,117,50,1500,1.2820512820512822,0.3500816325774233,C5ar1|Cxcl12|Pf4|Stab1|Tnfsf12,1.0
shared,GO_BP,GOBP_ANIMAL_ORGAN_MORPHOGENESIS,4,151,50,1500,0.794701986754967,0.7591652846416824,Cflar|Ctsd|Ly6e|Mef2c,1.0
shared,GO_BP,GOBP_ANIMAL_ORGAN_REGENERATION,1,15,50,1500,2.0,0.4000764265660914,Cxcl12,1.0
shared,GO_BP,GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION,0,22,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,2,11,50,1500,5.454545454545455,0.04943234891824236,Ctss|Psmb8,0.41405962367084453
shared,GO_BP,GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,5,18,50,1500,8.333333333333334,0.0002076446850936792,Laptm5|Lilrb4a|Mef2c|Ptprc|Tec,0.01984838901630757
shared,GO_BP,GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,3,14,50,1500,6.428571428571429,0.009792872234714329,Ccl4|Cxcl12|Pf4,0.17487271847704158
shared,GO_BP,GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,3,19,50,1500,4.736842105263158,0.023183209906023995,Ccl4|Cxcl12|Pf4,0.29313654236641734
shared,GO_BP,GOBP_AORTA_DEVELOPMENT,0,11,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_APICAL_JUNCTION_ASSEMBLY,0,12,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES,0,15,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_APOPTOTIC_SIGNALING_PATHWAY,6,74,50,1500,2.4324324324324325,0.03312549610655115,Cflar|Cxcl12|Dab2|Ifi27l2a|Ptprc|Tnfsf12,0.3595741046588395
shared,GO_BP,GOBP_APPENDAGE_DEVELOPMENT,0,21,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_APPENDAGE_MORPHOGENESIS,0,18,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_ARTERY_DEVELOPMENT,1,24,50,1500,1.25,0.5595904961849962,Apoe,1.0
shared,GO_BP,GOBP_ARTERY_MORPHOGENESIS,1,24,50,1500,1.25,0.5595904961849962,Apoe,1.0
shared,GO_BP,GOBP_ASSOCIATIVE_LEARNING,0,25,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_ASTROCYTE_DEVELOPMENT,2,11,50,1500,5.454545454545455,0.04943234891824236,C1qa|C5ar1,0.41405962367084453
shared,GO_BP,GOBP_ASTROCYTE_DIFFERENTIATION,3,24,50,1500,3.75,0.04309557126901202,C1qa|C5ar1|Cul4b,0.39789945063718485
shared,GO_BP,GOBP_ATP_METABOLIC_PROCESS,1,15,50,1500,2.0,0.4000764265660914,mt-Nd4,1.0
shared,GO_BP,GOBP_AXONEME_ASSEMBLY,0,20,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_AXON_DEVELOPMENT,3,96,50,1500,0.9375,0.6325355936674357,Apoe|Cxcl12|Mef2c,1.0
shared,GO_BP,GOBP_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM,0,12,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_AXON_EXTENSION,2,26,50,1500,2.3076923076923075,0.21392436250078883,Apoe|Cxcl12,0.9344814222144674
shared,GO_BP,GOBP_AXON_REGENERATION,1,14,50,1500,2.142857142857143,0.3791877227557184,Apoe,1.0
